Time (s),ESC signal (µs),Servo 1 (µs),Servo 2 (µs),Servo 3 (µs),AccX (g),AccY (g),AccZ (g),Torque (N·m),Thrust (gf),Voltage (V),Current (A),Motor Electrical Speed (RPM),Motor Optical Speed (RPM),Electrical Power (W),Mechanical Power (W),Motor Efficiency (%),Propeller Mech. Efficiency (gf/W),Overall Efficiency (gf/W),Left Load Cell (mV),Right Load Cell (mV),Thrust Load Cell (mV),Vibration (g),Burst Current Cutoff (A),Pin State 1,Pin State 2,Pin State 3,Pin State 4,Debug 0,Debug 1,Debug 2,Debug 3,App message,
1.2405488499999746,1000,,,,-0.0625,-0.008203125,-0.969375,-0.0000628082258366497,-0.24877968580807203,24.556014938354494,0.0436207215487957,0,0,1.0711512328531605,0,0,0,0,1.1090803425759077,-0.11398940114304423,0.17111491179093719,0.06353515625,0.04314930189334576,0.05,1,1,1,0,0,0,0,,
1.2389389000001831,1200,,,,-0.03087890625,-0.02859375,-1.00203125,-0.038997034545108285,229.18005487870553,24.474659996032713,2.0732329726219176,6023,0,50.74156060575143,24.599118391105872,48.51099870604523,9.320929244760505,4.519945039214005,1.2426067411433905,0.015421064254041994,0.4066738806432113,0.64716796875,1.2608209711723537,0.02,1,1,1,0,0,0,0,,
6.264555150000184,1225,,,,-0.0471484375,-0.01646484375,-0.99763671875,-0.05348999295767661,311.5159068876177,24.41878303527832,3.0252362751960753,7046,0,73.87249489957887,39.46757682286883,53.43661558656299,7.894574213317547,4.217990527064158,1.2932971853297204,0.06263913044676883,0.4912096733460203,0.8396875,2.523546019127276,0.06,1,1,1,0,0,0,0,,
11.28940435000019,1250,,,,-0.03966796875,0.0037890625,-1.04275390625,-0.06604505880336092,380.9425264614006,24.363943634033202,3.9804978513717653,7881,0,96.98045644675909,54.5067208842022,56.22381182939899,6.9906238906388625,3.929385139912923,1.337062509264797,0.10368588067649398,0.5624913104111329,0.75623046875,3.547929155068526,0.06,1,1,1,0,0,0,0,,
16.314782950000183,1275,,,,-0.0478125,-0.0682421875,-0.96244140625,-0.08087124827371893,464.54430831854603,24.299817638397215,5.100311374664306,8632,0,123.93642290496466,73.10424753739055,58.99765633573339,6.355033384946186,3.749032608844369,1.38755235937424,0.15331092276028357,0.6483268574811518,0.81884765625,4.620330741751629,0.13,1,1,1,0,0,0,0,,
21.339677500000175,1300,,,,0.0048828125,-0.075546875,-0.9951171875,-0.08900745552532366,507.9352947179243,24.2495548248291,5.707852411270141,8984,0,138.41275377774488,83.7431009815959,60.5270601786022,6.067636924786727,3.671404668157213,1.4162967563606799,0.17954083930817433,0.6928772124228999,0.97685546875,5.424543008275626,0.03,1,1,1,0,0,0,0,,
26.365420000000185,1325,,,,-0.0415625,-0.02720703125,-0.99158203125,-0.09900928009129846,550.813671487451,24.194535007476805,6.600501155853271,9543,0,159.69620162025842,98.9395881688597,61.998334868873954,5.567385961763375,3.451529299715813,1.4514164964202791,0.2119938493706286,0.7369012612616643,0.95783203125,6.23804863859747,0.07,1,1,1,0,0,0,0,,
31.365177000000195,1350,,,,-0.04994140625,-0.01056640625,-1.0106640625,-0.11520360132985122,632.0630651571241,24.120774478912352,7.871252942085266,10149,0,189.86075004676772,122.43371531707874,64.52058698324387,5.16312810603536,3.3309281806769304,1.5068444819189608,0.2659283112734556,0.8203215664252639,0.93734375,7.338876573291869,0.08,1,1,1,0,0,0,0,,
36.39018155000017,1375,,,,-0.05166015625,0.004765625,-1.014140625,-0.1290526991078173,700.3046936033425,24.048589420318603,8.94896059036255,10565,0,215.20904946123585,142.786432090841,66.39079581056355,4.906763794917543,3.2559092744517106,1.5547555650118738,0.3115587867796421,0.8903865504544228,0.83556640625,8.44796283109223,0.01,1,1,1,0,0,0,0,,
41.415953550000175,1400,,,,-0.047890625,-0.02341796875,-0.771875,-0.14697942682174941,792.5461519709277,23.948228492736817,10.840658903121948,11400,0,259.61390063072855,175.4689920010336,67.61139940255809,4.517206112284337,3.053793622307048,1.6161015455145389,0.37127405317733064,0.9850926185026765,0.77037109375,10.084119502666624,0.05,1,1,1,0,0,0,0,,
46.44239835000017,1425,,,,-0.0534765625,-0.01681640625,-0.79662109375,-0.16557216788216017,893.5315286100613,23.83859348297119,12.811122283935546,12003,0,305.39828012986294,208.12279096945787,68.16013916656448,4.2935524295801795,2.9262676971083277,1.6817528160754591,0.4312481271335855,1.088776234537363,0.77970703125,11.954994880670947,0.06,1,1,1,0,0,0,0,,
51.441263450000214,1450,,,,-0.01498046875,-0.02796875,-0.94275390625,-0.18096208477237546,970.9411698008381,23.733885955810546,14.655158672332764,12436,0,347.8226660509068,235.66670803938575,67.76773225989082,4.121039715536313,2.791958393853442,1.735380485188216,0.4815818971837871,1.1682541924528778,0.8241015625,13.851209755510142,0.12,1,1,1,0,0,0,0,,
